dataset_id,study_id,source_file,observation_id,technology,payload_bytes,session_policy,confirmation_mode,energy_j,latency_ms,delivery_success,measurement_boundary,evidence_grade,source_license,source_doi,snr_db
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:0,Thread,24,fresh,confirmed,0.0115575,84.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,5.0
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:1,Thread,64,reused,unconfirmed,0.00675,70.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,5.5
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:2,Thread,256,fresh,unconfirmed,0.0144,84.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,6.0
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:3,Thread,24,reused,confirmed,0.00722344,70.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,6.5
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:4,Thread,64,fresh,unconfirmed,0.0108,84.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,7.0
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:5,Thread,256,reused,unconfirmed,0.009,70.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,5.0
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:6,Thread,24,fresh,confirmed,0.0115575,84.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,5.5
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:7,Thread,64,reused,unconfirmed,0.00675,70.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,6.0
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:8,Thread,256,fresh,unconfirmed,0.0144,84.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,6.5
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:9,Thread,24,reused,confirmed,0.00722344,70.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,7.0
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:10,Thread,64,fresh,unconfirmed,0.0108,84.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,5.0
stackwise_smoke_fixture,smoke_study,generated,smoke:Thread:11,Thread,256,reused,unconfirmed,0.009,70.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,5.5
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:0,LoRaWAN,24,fresh,confirmed,0.23115,1020.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-5.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:1,LoRaWAN,64,reused,unconfirmed,0.135,850.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-4.5
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:2,LoRaWAN,256,fresh,unconfirmed,0.288,1020.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-4.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:3,LoRaWAN,24,reused,confirmed,0.14446875,850.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-3.5
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:4,LoRaWAN,64,fresh,unconfirmed,0.216,1020.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-3.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:5,LoRaWAN,256,reused,unconfirmed,0.18,850.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-5.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:6,LoRaWAN,24,fresh,confirmed,0.23115,1020.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-4.5
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:7,LoRaWAN,64,reused,unconfirmed,0.135,850.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-4.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:8,LoRaWAN,256,fresh,unconfirmed,0.288,1020.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-3.5
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:9,LoRaWAN,24,reused,confirmed,0.14446875,850.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-3.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:10,LoRaWAN,64,fresh,unconfirmed,0.216,1020.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-5.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LoRaWAN:11,LoRaWAN,256,reused,unconfirmed,0.18,850.0,False,full_device_cycle,TEST_ONLY,CC0-test-fixture,,-4.5
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:0,NB-IoT,24,fresh,confirmed,1.733625,2160.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,1.0
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:1,NB-IoT,64,reused,unconfirmed,1.0125,1800.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,1.5
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:2,NB-IoT,256,fresh,unconfirmed,2.16,2160.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,2.0
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:3,NB-IoT,24,reused,confirmed,1.08351562,1800.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,2.5
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:4,NB-IoT,64,fresh,unconfirmed,1.62,2160.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,3.0
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:5,NB-IoT,256,reused,unconfirmed,1.35,1800.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,1.0
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:6,NB-IoT,24,fresh,confirmed,1.733625,2160.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,1.5
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:7,NB-IoT,64,reused,unconfirmed,1.0125,1800.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,2.0
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:8,NB-IoT,256,fresh,unconfirmed,2.16,2160.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,2.5
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:9,NB-IoT,24,reused,confirmed,1.08351562,1800.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,3.0
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:10,NB-IoT,64,fresh,unconfirmed,1.62,2160.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,1.0
stackwise_smoke_fixture,smoke_study,generated,smoke:NB-IoT:11,NB-IoT,256,reused,unconfirmed,1.35,1800.0,False,full_device_cycle,TEST_ONLY,CC0-test-fixture,,1.5
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:0,LTE-M,24,fresh,confirmed,1.0594375,384.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,4.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:1,LTE-M,64,reused,unconfirmed,0.61875,320.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,4.5
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:2,LTE-M,256,fresh,unconfirmed,1.32,384.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,5.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:3,LTE-M,24,reused,confirmed,0.66214844,320.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,5.5
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:4,LTE-M,64,fresh,unconfirmed,0.99,384.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,6.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:5,LTE-M,256,reused,unconfirmed,0.825,320.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,4.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:6,LTE-M,24,fresh,confirmed,1.0594375,384.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,4.5
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:7,LTE-M,64,reused,unconfirmed,0.61875,320.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,5.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:8,LTE-M,256,fresh,unconfirmed,1.32,384.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,5.5
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:9,LTE-M,24,reused,confirmed,0.66214844,320.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,6.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:10,LTE-M,64,fresh,unconfirmed,0.99,384.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,4.0
stackwise_smoke_fixture,smoke_study,generated,smoke:LTE-M:11,LTE-M,256,reused,unconfirmed,0.825,320.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,4.5
